occupation,employed,Women,White,Black or African American,Asian,Hispanic or Latino,First Class,Second Class,Third Class
Chief executive,1780,30.6,85.8,5.2,7.3,6.3,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Operation manager,1359,37.1,82.8,8.4,5.8,13,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Marketing manager,567,62.4,84.1,7.1,7.1,10.6,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Sales manager,569,33.1,89.7,4.8,2.9,11.7,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Public relations manager,110,66.4,82.1,12.2,3,9.2,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Administrative services manager,78,74,71.9,11.9,7.2,15.2,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Facilities manager,149,23.4,86,11.1,1.5,9.4,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Computer systems manager,793,27.7,72.3,7.9,17.7,9.6,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Financial manager,1411,56.2,77.7,10.1,9.9,11.9,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Human resources manager,335,76.5,76.7,14.7,5.4,12.8,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Training and development manager,62,48,83.8,12.3,1.4,4.2,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Industrial production manager,279,19.1,83.5,6.3,8.4,14.3,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Purchasing manager,241,47.7,74.5,16.1,8,7.3,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Construction manager,1136,10.6,89.8,4.8,2,16.1,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Childcare administrator,1108,68.6,75.4,15.5,5.7,12,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Architectural and engineering manager,206,12.8,73.2,5.4,18.4,9.5,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Food service manager,1198,46.7,73.1,11.5,12.2,19.3,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Entertainment and recreation manager,81,50.1,82.4,7.1,4.5,24.2,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Lodging manager,141,61.6,72.3,10.2,13.3,9.8,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Medical and health services manager,838,71.8,75.7,14.2,5.7,10.7,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Social and community service manager,486,71.7,73.6,17.5,3.5,11.2,"Management, professional, and related occupations","Management, business, and financial operations occupations",Management occupations
Compliance officer,333,51.8,78.9,12.5,4.2,14.5,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Cost estimator,148,17.7,96.2,0.3,1.9,7.6,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Human resources worker,980,76.5,74.9,14.7,6,16.7,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Training and development specialist,138,56.7,80.7,14.1,3.5,12.5,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Logistician,197,38.7,67.5,22.2,6.6,16.1,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
Project management specialist,935,47.3,77,9.6,10.1,7.8,"Management, professional, and related occupations","Management, business, and financial operations occupations",Business and financial operations occupations
